Channel,Landing Page,Sessions,Avg. Session Duration,Pageviews,Bounces,Session Duration
Organic Search,/products/open-grape-crusher/,2,0:00:55,10,1,0:01:50
Organic Search,/products/polymust-rose/,2,0:04:45,19,1,0:09:30
Organic Search,/products/querplus/,2,0:00:00,2,2,0:00:00
Organic Search,/products/semi-automatic-fillers-ta-5-16-rotary-filling/,2,0:00:00,2,2,0:00:00
Organic Search,/products/silite-high-speed-sp/,2,0:00:14,2,1,0:00:28
Organic Search,/products/stabivin/,2,0:04:19,4,1,0:08:37
Organic Search,/products/zymaflore-alpha/,2,0:00:00,2,2,0:00:00
Organic Search,/products/zymaflore-x16/,2,0:00:00,2,2,0:00:00
Referral,/products/liverani-barrel-filling-gun/,2,0:00:00,2,2,0:00:00
Referral,/products/stelvin-screwcaps/,2,0:01:17,3,1,0:02:33
Social,/,2,0:00:58,4,0,0:01:55
Direct,/brewing/,1,0:06:01,8,0,0:06:01
Direct,/brewing/category/laboratory-equipment-and-supplies/158/?ccm_paging_p=2,1,0:00:00,1,1,0:00:00
Direct,/cider-making/category/Fruit-Processing-Machinery/264/,1,0:00:00,1,1,0:00:00
Direct,/distilling/,1,0:08:02,15,0,0:08:02
Direct,/products/aluminium-barrel-racks/,1,0:00:00,1,1,0:00:00
Direct,/products/belt-press-ebp-500/,1,0:01:39,2,0,0:01:39
Direct,/products/gecoll-supra/,1,0:00:00,1,1,0:00:00
Direct,/products/lenticular-filter-housing/,1,0:00:00,1,1,0:00:00
Direct,/products/monofoll-tank/,1,0:03:29,7,0,0:03:29
Direct,/products/packaged-chillers/,1,0:02:22,6,0,0:02:22
Direct,/products/plate-and-frame-lees-filter-press/,1,0:00:00,1,1,0:00:00
Direct,/products/premia-ws-top-540/,1,0:00:00,1,1,0:00:00
Direct,/products/tank-temperature-control-pack/,1,0:00:00,1,1,0:00:00
Direct,/products/tonnellerie-francois-freres/,1,0:07:27,26,0,0:07:27
Direct,/products/wine-amphoras/,1,0:00:00,1,1,0:00:00
Direct,"/translate_c?depth=1&hl=hr&prev=search&rurl=translate.google.com&sl=en&sp=nmt4&u=https://www.cellartek.com/products/fermol-arome-plus/&xid=17259,15700022,15700186,15700191,15700256,15700259,15700262,15700265&usg=ALkJrhh4ifBH2E0x3UZW-_YBwEga6yYmOw",1,0:00:00,1,1,0:00:00
Direct,/used-clearance/clearance-items/diemme-microflex-smart-filter/lightbox/,1,0:04:08,4,0,0:04:08
Direct,/used-equipment/?ccm_paging_p=2,1,0:00:25,2,0,0:00:25
Direct,/used-equipment/steam-generation-heating/lightbox/,1,0:00:00,1,1,0:00:00
Direct,"/winemaking/category/barrel-filling, -topping-and-washing-equipment/98/?ccm_paging_p=2",1,0:00:00,1,1,0:00:00
Organic Search,/about-us-contact/team/andy-shillington/,1,0:00:11,2,0,0:00:11
Organic Search,"/cider-making/category/barrel-filling, -topping-and-washing-equipment/182/",1,0:00:13,3,0,0:00:13
Organic Search,/cider-making/category/filtration/188/,1,0:13:39,17,0,0:13:39
Organic Search,/cider-making/category/tanks/69/stainless-steel-wine-tanks/70/,1,0:00:00,1,1,0:00:00
Organic Search,"/distilling/category/barrel-filling, -topping-and-washing-equipment/304/",1,0:01:23,6,0,0:01:23
Organic Search,"/distilling/category/Barrels, Alternatives and Accessories/303/",1,0:04:40,4,0,0:04:40
Organic Search,/distilling/category/Laboratory Equipment and Supplies/309/?ccm_paging_p=1,1,0:00:11,2,0,0:00:11
Organic Search,/distilling/category/Tanks/302/,1,0:00:16,3,0,0:00:16
Organic Search,/products/3m-polypropylene-rigid-thermal-bonded-filter/,1,0:00:00,1,1,0:00:00
Organic Search,/products/actiflore-f33/,1,0:01:51,4,0,0:01:51
Organic Search,/products/actiflore-rose/,1,0:00:00,1,1,0:00:00
Organic Search,/products/advanced-electrochemistry-meter-orion-versa-star/,1,0:00:00,1,1,0:00:00
Organic Search,/products/antioxin-sb/,1,0:00:00,1,1,0:00:00
Organic Search,/products/arabinol/,1,0:00:00,1,1,0:00:00
Organic Search,/products/atp-monitoring-system/,1,0:00:00,1,1,0:00:00
Organic Search,/products/automatic-bottle-sealing-turrets-tv-2000/,1,0:00:56,3,0,0:00:56
Organic Search,/products/bag-box-filling-machine-mbf750/,1,0:00:00,1,1,0:00:00
Organic Search,/products/bag-box-supplies/,1,0:00:00,1,1,0:00:00
Organic Search,/products/barrel-innerstave/,1,0:00:00,1,1,0:00:00
Organic Search,/products/barrel-washing-aaqua-blaster-lt-barrel-washer-gravity-drain/,1,0:00:00,1,1,0:00:00
Organic Search,/products/battonage-tanks/,1,0:17:09,16,0,0:17:09
Organic Search,/products/belt-sorting-1/,1,0:00:00,1,1,0:00:00
Organic Search,/products/bin-dumping/,1,0:00:00,1,1,0:00:00
Organic Search,/products/binsert/,1,0:00:00,1,1,0:00:00
Organic Search,/products/biocatalasi-af/,1,0:00:00,1,1,0:00:00
Organic Search,/products/closed-top-tanks-vino/,1,0:00:00,1,1,0:00:00
Organic Search,/products/counter-pressure-filler-tal810121416d/,1,0:00:00,1,1,0:00:00
Organic Search,/products/ct-benchtop-capsule-heat-shrinker/,1,0:04:33,4,0,0:04:33
Organic Search,/products/digital-phase-converters/,1,0:00:00,1,1,0:00:00
Organic Search,/products/double-belt-press-zbp1100/,1,0:00:00,1,1,0:00:00
Organic Search,/products/eccentric-screw-pumps/,1,0:00:00,1,1,0:00:00
Organic Search,/products/elevator-sa400-centrifugal-mill-rm75/,1,0:00:00,1,1,0:00:00
Organic Search,/products/ellagitan-barrique-rouge/,1,0:00:06,2,0,0:00:06
Organic Search,/products/endozym-ics-10-eclair/,1,0:00:00,1,1,0:00:00
Organic Search,/products/endozym-muscat/,1,0:00:00,1,1,0:00:00
Organic Search,/products/fermol-elegance/,1,0:00:00,1,1,0:00:00
Organic Search,/products/fermol-mediterranee/,1,0:00:00,1,1,0:00:00
Organic Search,/products/fermoplus-malolactique/,1,0:00:00,1,1,0:00:00
Organic Search,/products/ff-112s20-semi-automatic-growler-filler/,1,0:00:51,3,0,0:00:51
Organic Search,/products/food-grade-glycol/,1,0:00:21,1,0,0:00:21
Organic Search,/products/forks-and-rakes/,1,0:01:49,1,0,0:01:49
Organic Search,/products/gamajet-barrel-washing-system/,1,0:40:57,39,0,0:40:57
Organic Search,/products/juice-collection-tank-65l/,1,0:04:25,2,0,0:04:25
Organic Search,/products/kegmatic/,1,0:00:00,1,1,0:00:00
Organic Search,/products/kiesel-ftf-series-progressive-cavity-mustmash-pumps/,1,0:00:00,1,1,0:00:00
Organic Search,/products/kiesel-high-pressure-barrel-washer/,1,0:00:00,1,1,0:00:00
Organic Search,/products/lactoenos-b16/,1,0:00:00,1,1,0:00:00
Organic Search,/products/lafase-he-grand-cru/,1,0:07:47,2,0,0:07:47
Organic Search,/products/lafase-xl-clarification/,1,0:00:00,1,1,0:00:00
Organic Search,/products/lafazym-600-xl-ice/,1,0:00:00,1,1,0:00:00
Organic Search,/products/method-traditionelle-barida-muima-200-small-medium-production/,1,0:00:00,1,1,0:00:00
Organic Search,/products/micro-safe-micro-ox-equipment/,1,0:00:00,1,1,0:00:00
Organic Search,/products/microcid/,1,0:00:00,1,1,0:00:00
Organic Search,/products/mixed-paddle-scrapers/,1,0:06:40,26,0,0:06:40
Organic Search,/products/nutristart/,1,0:00:00,1,1,0:00:00
Organic Search,/products/oenolees/,1,0:01:33,3,0,0:01:33
Organic Search,/products/ozone-generator-cart/,1,0:00:00,1,1,0:00:00
Organic Search,/products/ph-benchtop-meter-orion-star-a111/,1,0:00:00,1,1,0:00:00
Organic Search,/products/pipe-screen-combination-dn-25/,1,0:00:00,1,1,0:00:00
Organic Search,/products/pneumatage-cap-management-and-tank-mixing/,1,0:00:00,1,1,0:00:00
Organic Search,/products/polylact/,1,0:00:00,1,1,0:00:00
Organic Search,/products/polymust-press/,1,0:01:19,4,0,0:01:19
Organic Search,/products/pump-over-carts/,1,0:00:00,1,1,0:00:00
Organic Search,/products/quertan/,1,0:00:00,1,1,0:00:00
Organic Search,/products/quertanin-intense/,1,0:12:47,4,0,0:12:47
Organic Search,/products/saury-barrels/,1,0:02:18,1,0,0:02:18
Organic Search,/products/sheet-filters-spadoni/,1,0:00:00,1,1,0:00:00
Organic Search,/products/superstart-blanc/,1,0:00:00,1,1,0:00:00
Organic Search,/products/thiazote/,1,0:00:34,1,0,0:00:34
Organic Search,/products/uv-pure-hallett-13/,1,0:00:00,1,1,0:00:00
Organic Search,/products/vibratory-dosing-tables/,1,0:00:00,1,1,0:00:00
Organic Search,/products/volatile-acidity-cash-still-assembly/,1,0:00:00,1,1,0:00:00
Organic Search,/products/wine-amphoras/,1,0:03:39,13,0,0:03:39
Organic Search,/products/zymaflore-011bio/,1,0:00:00,1,1,0:00:00
Organic Search,/search/?query=pinot+gris,1,0:59:11,37,0,0:59:11
Organic Search,/search/?query=yeast+allegro&submit=Search,1,0:11:33,52,0,0:11:33
Organic Search,/service-installations/repairs-maintenance/,1,0:00:00,1,1,0:00:00
Organic Search,/testimonials/,1,0:00:00,1,1,0:00:00
Organic Search,/testimonials/barbara-hall/,1,0:00:00,1,1,0:00:00
Organic Search,/used-equipment/jungheninrich-emcb10-straddle-pallet-stacker/lightbox/,1,0:00:00,1,1,0:00:00
Organic Search,/used-equipment/used-spadoni-kappa-6-fi/lightbox/,1,0:00:00,1,1,0:00:00
Organic Search,/winemaking/category/cleaning-and-washing-equipment-and-supplies/127/,1,0:03:16,17,0,0:03:16
Organic Search,"/winemaking/category/fermentation, -finishing-and-fining-ingredients/81/ML-Bacteria/87/",1,0:00:00,1,1,0:00:00
Referral,/products/ct-benchtop-capsule-heat-shrinker/,1,0:00:00,1,1,0:00:00
Referral,/products/fermol-arome-plus/,1,0:00:00,1,1,0:00:00
Referral,/products/gamajet-barrel-washing-system/,1,0:00:00,1,1,0:00:00
Referral,/products/lenticular-filter-housing/,1,0:00:00,1,1,0:00:00
Referral,/products/MAS-press-membranes/,1,0:00:46,1,0,0:00:46
Referral,/products/saury-barrels/,1,0:00:00,1,1,0:00:00
Referral,/products/semi-automatic-screwcapper/,1,0:00:00,1,1,0:00:00
Referral,/products/spadoni-de-filters-5-50-square-meters/,1,0:04:22,3,0,0:04:22
Referral,/products/tonnellerie-francois-freres/,1,0:00:00,1,1,0:00:00
Referral,/products/zymaflore-xpure/,1,0:00:00,1,1,0:00:00
Referral,/search/?query=pressure+washer,1,0:00:05,2,0,0:00:05
Referral,"/translate_c?depth=1&hl=cs&prev=search&rurl=translate.google.cz&sl=en&sp=nmt4&u=https://www.cellartek.com/products/zymaflore-x16/&xid=17259,1500004,15700019,15700186,15700191,15700256,15700259,15700262,15700265&usg=ALkJrhjb12YiaMXWJTxZb871cvWPGKJR2g",1,0:00:00,1,1,0:00:00
Referral,"/translate_c?depth=1&hl=hu&prev=search&rurl=translate.google.com&sl=en&sp=nmt4&u=https://www.cellartek.com/products/silite-high-speed-sp/&xid=17259,1500001,15700021,15700186,15700191,15700256,15700259,15700262,15700265&usg=ALkJrhjCRYHTvufOaVzQFbyJRkjhq-OMUw",1,0:00:00,1,1,0:00:00
Referral,/used-equipment/,1,0:01:12,4,0,0:01:12
Referral,/winemaking/category/tanks/49/,1,0:05:26,9,0,0:05:26
Social,/?fbclid=IwAR0KVOjqWGKs0RtcFdqkdoZJmt4yWTknoENVYAhjEK326cAB4u8fwPKzr2U,1,0:00:00,1,1,0:00:00
